datetime,avg_price,min_price,max_price,volume,item
2025-06-16T00:00:00.000+00:00,43.0,35,51,141,Wisp Prime
2025-06-17T00:00:00.000+00:00,42.0,34,50,157,Wisp Prime
2025-06-18T00:00:00.000+00:00,42.5,35,50,179,Wisp Prime
2025-06-19T00:00:00.000+00:00,45.0,35,55,162,Wisp Prime
2025-06-20T00:00:00.000+00:00,47.0,35,59,148,Wisp Prime
2025-06-21T00:00:00.000+00:00,45.0,35,55,184,Wisp Prime
2025-06-22T00:00:00.000+00:00,45.0,35,55,180,Wisp Prime
2025-06-23T00:00:00.000+00:00,44.0,38,50,111,Wisp Prime
2025-06-24T00:00:00.000+00:00,45.0,35,55,171,Wisp Prime
2025-06-25T00:00:00.000+00:00,45.0,35,55,145,Wisp Prime
2025-06-26T00:00:00.000+00:00,41.5,35,48,132,Wisp Prime
2025-06-27T00:00:00.000+00:00,40.5,39,42,100,Wisp Prime
2025-06-28T00:00:00.000+00:00,40.0,38,42,126,Wisp Prime
2025-06-29T00:00:00.000+00:00,42.0,37,47,215,Wisp Prime
2025-04-02T00:00:00.000+00:00,32.5,25,40,120,Hildryn Prime
2025-04-03T00:00:00.000+00:00,32.0,24,40,110,Hildryn Prime
2025-04-04T00:00:00.000+00:00,31.0,25,37,94,Hildryn Prime
2025-04-05T00:00:00.000+00:00,30.0,20,40,139,Hildryn Prime
2025-04-06T00:00:00.000+00:00,32.5,25,40,189,Hildryn Prime
2025-04-07T00:00:00.000+00:00,34.5,25,44,102,Hildryn Prime
2025-04-08T00:00:00.000+00:00,33.5,27,40,105,Hildryn Prime
2025-04-09T00:00:00.000+00:00,32.5,25,40,108,Hildryn Prime
2025-04-10T00:00:00.000+00:00,32.0,24,40,103,Hildryn Prime
2025-04-11T00:00:00.000+00:00,32.5,25,40,113,Hildryn Prime
2025-04-12T00:00:00.000+00:00,33.0,21,45,152,Hildryn Prime
2025-04-13T00:00:00.000+00:00,36.5,33,40,113,Hildryn Prime
2025-04-14T00:00:00.000+00:00,36.5,33,40,78,Hildryn Prime
2025-04-15T00:00:00.000+00:00,36.5,33,40,80,Hildryn Prime
2025-04-16T00:00:00.000+00:00,38.5,37,40,68,Hildryn Prime
2025-04-17T00:00:00.000+00:00,38.5,37,40,51,Hildryn Prime
2025-04-18T00:00:00.000+00:00,35.0,25,45,121,Hildryn Prime
2025-04-19T00:00:00.000+00:00,35.0,30,40,113,Hildryn Prime
2025-04-20T00:00:00.000+00:00,36.5,33,40,93,Hildryn Prime
2025-04-21T00:00:00.000+00:00,38.5,37,40,59,Hildryn Prime
2025-04-22T00:00:00.000+00:00,39.0,38,40,72,Hildryn Prime
2025-04-23T00:00:00.000+00:00,39.0,38,40,64,Hildryn Prime
2025-04-24T00:00:00.000+00:00,37.5,30,45,97,Hildryn Prime
2025-04-25T00:00:00.000+00:00,36.5,33,40,87,Hildryn Prime
2025-04-26T00:00:00.000+00:00,35.5,30,41,72,Hildryn Prime
2025-04-27T00:00:00.000+00:00,34.0,28,40,105,Hildryn Prime
2025-04-28T00:00:00.000+00:00,39.0,38,40,65,Hildryn Prime
2025-04-29T00:00:00.000+00:00,49.0,28,70,83,Hildryn Prime
2025-04-30T00:00:00.000+00:00,39.0,38,40,74,Hildryn Prime
2025-05-01T00:00:00.000+00:00,39.0,38,40,55,Hildryn Prime
2025-05-02T00:00:00.000+00:00,38.5,37,40,71,Hildryn Prime
2025-05-03T00:00:00.000+00:00,38.5,37,40,73,Hildryn Prime
2025-05-04T00:00:00.000+00:00,39.5,39,40,57,Hildryn Prime
2025-05-05T00:00:00.000+00:00,39.0,38,40,64,Hildryn Prime
2025-05-06T00:00:00.000+00:00,40.0,38,42,71,Hildryn Prime
2025-05-07T00:00:00.000+00:00,40.0,35,45,79,Hildryn Prime
2025-05-08T00:00:00.000+00:00,40.0,38,42,64,Hildryn Prime
2025-05-09T00:00:00.000+00:00,40.0,38,42,55,Hildryn Prime
2025-05-10T00:00:00.000+00:00,38.5,37,40,53,Hildryn Prime
2025-05-11T00:00:00.000+00:00,39.0,38,40,72,Hildryn Prime
2025-05-12T00:00:00.000+00:00,40.0,38,42,77,Hildryn Prime
2025-05-13T00:00:00.000+00:00,40.0,30,50,91,Hildryn Prime
2025-05-14T00:00:00.000+00:00,40.0,30,50,105,Hildryn Prime
2025-05-15T00:00:00.000+00:00,38.5,28,49,89,Hildryn Prime
2025-05-16T00:00:00.000+00:00,38.5,37,40,62,Hildryn Prime
2025-05-17T00:00:00.000+00:00,39.0,38,40,79,Hildryn Prime
2025-05-18T00:00:00.000+00:00,38.5,37,40,65,Hildryn Prime
2025-05-19T00:00:00.000+00:00,40.0,35,45,106,Hildryn Prime
2025-05-20T00:00:00.000+00:00,40.0,38,42,53,Hildryn Prime
2025-05-21T00:00:00.000+00:00,39.0,38,40,48,Hildryn Prime
2025-05-22T00:00:00.000+00:00,40.0,38,42,77,Hildryn Prime
2025-05-23T00:00:00.000+00:00,38.5,37,40,91,Hildryn Prime
2025-05-24T00:00:00.000+00:00,39.0,28,50,120,Hildryn Prime
2025-05-25T00:00:00.000+00:00,40.0,38,42,92,Hildryn Prime
2025-05-26T00:00:00.000+00:00,50.0,25,75,121,Hildryn Prime
2025-05-27T00:00:00.000+00:00,36.0,32,40,89,Hildryn Prime
2025-05-28T00:00:00.000+00:00,40.0,35,45,114,Hildryn Prime
2025-05-29T00:00:00.000+00:00,40.0,38,42,71,Hildryn Prime
2025-05-30T00:00:00.000+00:00,39.5,34,45,97,Hildryn Prime
2025-05-31T00:00:00.000+00:00,38.5,37,40,76,Hildryn Prime
2025-06-01T00:00:00.000+00:00,39.5,29,50,115,Hildryn Prime
2025-06-02T00:00:00.000+00:00,39.5,34,45,89,Hildryn Prime
2025-06-03T00:00:00.000+00:00,40.0,30,50,119,Hildryn Prime
2025-06-04T00:00:00.000+00:00,39.5,29,50,115,Hildryn Prime
2025-06-05T00:00:00.000+00:00,40.0,35,45,112,Hildryn Prime
2025-06-06T00:00:00.000+00:00,40.0,30,50,100,Hildryn Prime
2025-06-07T00:00:00.000+00:00,40.5,33,48,90,Hildryn Prime
2025-06-08T00:00:00.000+00:00,40.0,30,50,136,Hildryn Prime
2025-06-09T00:00:00.000+00:00,40.0,30,50,98,Hildryn Prime
2025-06-10T00:00:00.000+00:00,42.5,35,50,85,Hildryn Prime
2025-06-11T00:00:00.000+00:00,40.0,30,50,104,Hildryn Prime
2025-06-12T00:00:00.000+00:00,40.0,38,42,60,Hildryn Prime
2025-06-13T00:00:00.000+00:00,41.5,38,45,70,Hildryn Prime
2025-06-14T00:00:00.000+00:00,40.5,39,42,67,Hildryn Prime
2025-06-15T00:00:00.000+00:00,65.0,30,100,110,Hildryn Prime
2025-06-16T00:00:00.000+00:00,43.5,39,48,97,Hildryn Prime
2025-06-17T00:00:00.000+00:00,40.0,30,50,84,Hildryn Prime
2025-06-18T00:00:00.000+00:00,40.0,35,45,85,Hildryn Prime
2025-06-19T00:00:00.000+00:00,41.5,35,48,96,Hildryn Prime
2025-06-20T00:00:00.000+00:00,42.5,35,50,108,Hildryn Prime
2025-06-21T00:00:00.000+00:00,41.0,34,48,95,Hildryn Prime
2025-06-22T00:00:00.000+00:00,40.5,35,46,90,Hildryn Prime
2025-06-23T00:00:00.000+00:00,40.0,30,50,75,Hildryn Prime
2025-06-24T00:00:00.000+00:00,40.5,39,42,41,Hildryn Prime
2025-06-25T00:00:00.000+00:00,40.0,38,42,59,Hildryn Prime
2025-06-26T00:00:00.000+00:00,40.0,38,42,62,Hildryn Prime
2025-06-27T00:00:00.000+00:00,39.0,38,40,58,Hildryn Prime
2025-06-28T00:00:00.000+00:00,38.5,37,40,86,Hildryn Prime
2025-06-29T00:00:00.000+00:00,39.0,37,41,83,Hildryn Prime
2025-04-02T00:00:00.000+00:00,70.0,68,72,82,Mesa Prime
2025-04-03T00:00:00.000+00:00,85.0,50,120,127,Mesa Prime
2025-04-04T00:00:00.000+00:00,68.5,67,70,113,Mesa Prime
2025-04-05T00:00:00.000+00:00,68.5,67,70,106,Mesa Prime
2025-04-06T00:00:00.000+00:00,68.5,67,70,115,Mesa Prime
2025-04-07T00:00:00.000+00:00,90.0,55,125,131,Mesa Prime
2025-04-08T00:00:00.000+00:00,70.0,68,72,97,Mesa Prime
2025-04-09T00:00:00.000+00:00,70.0,68,72,95,Mesa Prime
