datetime,avg_price,min_price,max_price,volume,item,date,time,avg_price_7d
2025-05-26 00:00:00+00:00,52.5,45,60,67,Baruuk,2025-05-26,00:00:00,50.714285714285715
2025-05-27 00:00:00+00:00,52.5,45,60,72,Baruuk,2025-05-27,00:00:00,50.785714285714285
2025-05-28 00:00:00+00:00,54.0,49,59,60,Baruuk,2025-05-28,00:00:00,51.357142857142854
2025-05-29 00:00:00+00:00,49.5,39,60,61,Baruuk,2025-05-29,00:00:00,51.214285714285715
2025-05-30 00:00:00+00:00,49.0,48,50,43,Baruuk,2025-05-30,00:00:00,50.857142857142854
2025-05-31 00:00:00+00:00,50.0,48,52,54,Baruuk,2025-05-31,00:00:00,50.857142857142854
2025-06-01 00:00:00+00:00,49.5,39,60,72,Baruuk,2025-06-01,00:00:00,51.0
2025-06-02 00:00:00+00:00,48.5,37,60,76,Baruuk,2025-06-02,00:00:00,50.42857142857143
2025-06-03 00:00:00+00:00,50.0,40,60,68,Baruuk,2025-06-03,00:00:00,50.07142857142857
2025-06-04 00:00:00+00:00,48.5,37,60,61,Baruuk,2025-06-04,00:00:00,49.285714285714285
2025-06-05 00:00:00+00:00,50.5,40,61,73,Baruuk,2025-06-05,00:00:00,49.42857142857143
2025-06-06 00:00:00+00:00,50.0,40,60,81,Baruuk,2025-06-06,00:00:00,49.57142857142857
2025-06-07 00:00:00+00:00,50.0,40,60,87,Baruuk,2025-06-07,00:00:00,49.57142857142857
2025-06-08 00:00:00+00:00,48.5,47,50,63,Baruuk,2025-06-08,00:00:00,49.42857142857143
2025-06-09 00:00:00+00:00,47.5,45,50,55,Baruuk,2025-06-09,00:00:00,49.285714285714285
2025-06-10 00:00:00+00:00,44.5,35,54,66,Baruuk,2025-06-10,00:00:00,48.5
2025-06-11 00:00:00+00:00,45.0,40,50,70,Baruuk,2025-06-11,00:00:00,48.0
2025-06-12 00:00:00+00:00,44.0,43,45,43,Baruuk,2025-06-12,00:00:00,47.07142857142857
2025-06-13 00:00:00+00:00,44.5,35,54,78,Baruuk,2025-06-13,00:00:00,46.285714285714285
2025-06-14 00:00:00+00:00,45.0,35,55,97,Baruuk,2025-06-14,00:00:00,45.57142857142857
2025-06-15 00:00:00+00:00,40.0,30,50,98,Baruuk,2025-06-15,00:00:00,44.357142857142854
2025-06-16 00:00:00+00:00,44.0,35,53,76,Baruuk,2025-06-16,00:00:00,43.857142857142854
2025-06-17 00:00:00+00:00,45.0,40,50,55,Baruuk,2025-06-17,00:00:00,43.92857142857143
2025-06-18 00:00:00+00:00,42.0,31,53,71,Baruuk,2025-06-18,00:00:00,43.5
2025-06-19 00:00:00+00:00,40.0,30,50,79,Baruuk,2025-06-19,00:00:00,42.92857142857143
2025-06-20 00:00:00+00:00,40.0,30,50,89,Baruuk,2025-06-20,00:00:00,42.285714285714285
2025-06-21 00:00:00+00:00,42.5,30,55,96,Baruuk,2025-06-21,00:00:00,41.92857142857143
2025-06-22 00:00:00+00:00,44.0,38,50,78,Baruuk,2025-06-22,00:00:00,42.5
